;;;sub6-a;;sub6-b-R;;sub6-b-S;
;;;RT;Peak Area;RT;Peak Area;RT;Peak Area
flush_0;1;1;;;;;;
Sub6_a_Std9_0.1875 mM;2;1;35.9385;4.947;;;;
Sub6_a_Std8_0.25 mM;3;1;35.9909;8.121;;;;
Sub6_a_Std7_0.375 mM;4;1;35.8257;10.401;;;;
Sub6_a_Std7_0.5 mM;5;1;0;0;;;;
Sub6_a_Std7_0.75 mM;6;1;0;0;;;;
Sub6_a_Std4_1 mM;7;1;35.8476;32.464;;;;
Sub6_a_Std3_1.5 m;8;1;35.9003;42.831;;;;
Sub6_a_Std2_2 mM;9;1;35.879;58.761;;;;
Sub6_a_Std1_3 mM;10;1;35.8877;103.779;;;;
flush_1;11;1;;;;;;
Sub6_b-R_Std9_0.187;12;1;;;43.7023;6.994;;
Sub6_b-R_Std8_0.25;13;1;;;43.6998;10.93;;
Sub6_b-R_Std7_0.375;14;1;;;43.6936;19.094;;
Sub6_b-R_Std6_0.5;15;1;;;0;0;;
Sub6_b-R_Std5_0.75;16;1;;;43.7181;28.339;;
Sub6_b-R_Std4_1 mM;17;1;;;43.7056;0;;
Sub6_b-R_Std3_1.5 mM;;;;;;;;
Sub6_b-R_Std3_2 mM;19;1;;;43.7016;75.444;;
Sub6_b-R_Std2_3 mM;20;1;;;0;0;;
flush_2;21;1;;;;;;
