;;;sub6-a;;sub6-b-R;;sub6-b-S;
;;;RT;Peak Area;RT;Peak Area;RT;Peak Area
flush_0;1;1;;;;;;
Sub6_Seq_NC1;2;1;35.8564;40.354;43.7328;5.41;43.9296;8.047
Sub6_Seq_2a_;3;1;35.8419;28.485;43.7344;3.844;43.9311;7.169
Sub6_Seq_3a_;4;1;35.8537;22.252;43.7308;4.025;43.9285;7.15
Sub6_Seq_4a_;5;1;35.827;25.846;43.7346;4.324;43.9316;6.394
Sub6_Seq_5a_;6;1;35.8292;24.229;43.7356;3.975;43.9365;6.149
Sub6_Seq_6a_;7;1;35.859;23.76;43.7396;5.019;43.9365;6.867
Sub6_Seq_7a_;8;1;35.8183;16.739;43.7467;3.968;43.9259;30.706
Sub6_Seq_8a_;9;1;;;43.7337;1.668;43.8978;69.31
Sub6_Seq_9a_;10;1;35.8243;25.654;43.7458;2.399;43.9406;4.879
Sub6_Seq_10a;11;1;35.8853;26.266;43.7425;5.865;43.9422;8.146
Sub6_Seq_21a;12;1;35.8446;27.242;43.741;3.459;43.9419;3.682
Sub6_Seq_23a;13;1;;;43.6972;69.968;43.8875;6.463
Sub6_Seq_1a_;14;1;;;;;;
Sub6_Seq_NC2;15;1;35.86;28.797;43.7493;2.675;43.9552;4.176
Sub6_Seq_3b_;16;1;35.8696;24.625;43.7578;4.805;43.9544;8.366
Sub6_Seq_4b_;17;1;35.8649;29.089;43.7559;4.979;43.9567;7.552
Sub6_Seq_5b_;18;1;35.9291;28.117;43.7669;4.911;43.9676;7.897
Sub6_Seq_6b_;19;1;35.8842;29.346;43.7899;4.916;43.9861;8.039
Sub6_Seq_7b_;20;1;35.9096;15.045;43.7951;2.244;43.9768;32.224
Sub6_Seq_8b_;21;1;;;43.7973;2.169;43.9599;75.905
Sub6_Seq_9b_;22;1;35.913;28.464;43.8154;3.59;44.0172;4.281
Sub6_Seq_10b;23;1;;;;;;
Sub6_Seq_21b;24;1;35.9698;25.84;43.8201;4.653;44.0245;3.758
Sub6_Seq_23b;25;1;;;43.7715;75.511;43.9758;6.068
flush_1;26;1;;;;;;
Sub6_Seq_1b_;27;1;;;43.8117;8.374;43.9823;67.772
Sub6_Seq_2b_;28;1;35.9336;31.354;43.8209;2.734;44.0261;6.918
Sub6_Seq_PC1;29;1;;;43.8278;1.081;43.9782;79.494
Sub6_Seq_4c_;30;1;35.9175;26.036;43.8366;3.346;44.0315;6.689
Sub6_Seq_5c_;31;1;35.935;28.952;43.8294;5.71;44.0289;7.689
Sub6_Seq_6c_;32;1;35.9376;27.126;43.832;6.053;44.028;8.37
Sub6_Seq_7c_;33;1;35.9999;15.331;43.8308;2.766;44.007;33.449
Sub6_Seq_8c_;34;1;;;43.8252;2.003;43.985;72.121
Sub6_Seq_9c_;35;1;35.9373;29.537;43.8324;3.069;44.0311;3.901
Sub6_Seq_10c;36;1;35.9631;25.144;43.8248;6.303;44.02;12.974
Sub6_Seq_21c;37;1;;;;;;
Sub6_Seq_23c;38;1;;;43.7704;72.57;43.9971;5.623
Sub6_Seq_1c_;39;1;;;43.8108;8.533;43.9814;68.779
Sub6_Seq_2c_;40;1;35.9214;31.099;43.8295;3.473;44.0279;6.661
Sub6_Seq_3c_;41;1;35.8922;28.339;43.8216;3.896;44.0234;8.328
Sub6_Seq_PC2;42;1;;;43.8296;0.967;43.9766;75.925
Sub6_Seq_15a;43;1;35.9349;27.322;43.821;3.437;44.0169;4.448
Sub6_Seq_16a;44;1;;;43.7768;43.848;43.9901;32.805
Sub6_Seq_17a;45;1;35.9206;24.824;43.8058;4.61;44.0058;7.86
Sub6_Seq_18a;46;1;;;43.7662;43.984;43.9788;33.559
Sub6_Seq_19a;47;1;35.923;30.701;43.8013;3.895;43.9954;7.269
Sub6_Seq_20a;48;1;35.7919;8.415;43.774;13.293;43.9576;46.299
Sub6_Seq_22a;49;1;35.8637;7.778;43.7719;12.299;43.9518;51.158
Sub6_Seq_24a;50;1;35.8415;29.822;43.7851;5.275;43.9823;7.372
flush_2;51;1;;;;;;
Sub6_Seq_11a;52;1;35.843;30.334;43.7906;4.476;43.9852;7.584
Sub6_Seq_12a;53;1;35.8759;28.258;43.7902;3.801;43.9873;5.839
Sub6_Seq_13a;54;1;35.8967;27.704;43.79;7.644;43.9878;7.27
Sub6_Seq_14a;55;1;35.8242;14.408;43.7734;11.517;43.9606;34.703
Sub6_Seq_PC3;56;1;;;43.7725;0.711;43.9338;74.136
Sub6_Seq_16b;57;1;;;43.7431;42.772;43.9573;29.489
Sub6_Seq_17b;58;1;35.8942;25.738;43.773;4.785;43.9702;7.318
Sub6_Seq_18b;59;1;;;43.7385;43.679;43.9515;34.08
Sub6_Seq_19b;60;1;35.86;25.283;43.7704;4.671;43.9689;6.935
Sub6_Seq_20b;61;1;35.8901;7.348;43.7553;13.8;43.9406;48.795
Sub6_Seq_22b;62;1;35.8851;16.274;43.7589;11.176;43.9474;40.837
Sub6_Seq_24b;63;1;;;;;;
Sub6_Seq_11b;64;1;35.8935;30.43;43.7641;4.24;43.964;6.82
Sub6_Seq_12b;65;1;35.9088;29.559;43.7566;4.036;43.9576;6.605
Sub6_Seq_13b;66;1;35.8585;28.054;43.7455;5.252;43.9457;6.996
Sub6_Seq_14b;67;1;35.8744;15.187;43.7276;11.414;43.9164;34.118
Sub6_Seq_15b;68;1;35.8297;30.398;43.7348;4.18;43.9343;4.805
Sub6_Seq_16c;69;1;;;43.6898;45.724;43.9036;33.856
Sub6_Seq_17c;70;1;35.7839;28.078;43.7237;5.514;43.9216;8.521
Sub6_Seq_18c;71;1;;;43.6861;47.936;43.8984;36.833
Sub6_Seq_19c;72;1;35.8241;29.821;43.728;3.908;43.9252;7.496
Sub6_Seq_20c;73;1;35.8026;12.861;43.7171;10.803;43.9046;35.403
Sub6_Seq_22c;74;1;35.7728;17.946;43.7138;11.761;43.8977;43.805
Sub6_Seq_24c;75;1;35.8359;42.937;43.7311;8.073;43.9285;11.946
Sub6_Seq_11c;76;1;35.8358;42.552;43.7265;5.863;43.9247;10.164
Sub6_Seq_12c;77;1;35.8038;36.517;43.733;5.543;43.9241;11.751
Sub6_Seq_13c;78;1;35.8062;40.738;43.7204;6.426;43.9171;9.372
Sub6_Seq_14c;79;1;35.7982;24.156;43.7077;14.072;43.8961;39.11
Sub6_Seq_15c;80;1;35.7562;37.59;43.7149;4.208;43.9129;6.184
flush_3;81;1;;;;;;
