;1b (S);1b (R);4b (S);4b (R);5b (S);5b (R)
1;-0.07063994;1.49428869;3.366574685;2.354119656;-0.145610262;2.428664719
2;-0.095014038;-0.067826641;0.747395522;0.621739389;-0.145610262;-0.145610262
3;-0.097394183;-0.062859317;1.770563972;0.53975502;-0.064958212;-0.145610262
4;-0.097090241;-0.101759496;1.092184469;0.616213674;-0.145610262;-0.145610262
5;-0.052465086;-0.088477081;1.113591716;1.176226285;0.231184332;-0.145610262
6;-0.06701466;-0.095476558;1.497589727;0.717092266;-0.145610262;-0.114621491
7;1.63592422;-0.097099051;0.927632788;0.484786892;-0.052292287;0.924499726
8;5.630426149;3.146588181;0.475621455;5.410849238;-0.002610817;2.266354134
9;-0.09764967;-0.095319448;0.804984447;0.475102194;-0.145610262;-0.145610262
10;-0.087556445;-0.095027252;1.398837164;0.631389796;-0.145610262;-0.145610262
11;-0.09286295;-0.088841224;0.80668429;0.4944324;-0.145610262;-0.145610262
12;-0.075074264;-0.077275274;0.76076403;0.486040955;-0.145610262;-0.145610262
13;-0.073652931;-0.105467001;1.418681731;0.858771993;0.129778112;-0.145610262
14;-0.099743493;-0.087353817;0.886562225;1.833703105;-0.145610262;-0.145610262
15;-0.072680904;-0.101760964;0.905544624;0.570190542;-0.145610262;0.180375117
16;4.753427044;4.442970057;-0.024926036;5.529603126;2.419497233;0.139133555
17;-0.094639616;-0.092708777;1.284330435;0.471766191;-0.145610262;-0.145610262
18;0.995594662;-0.089563637;0.24722523;5.063968553;2.297730947;-0.145610262
19;-0.0887311;-0.085591834;1.159717721;0.533734538;-0.145610262;-0.145610262
20;-0.102277812;-0.092623614;0.658886107;2.507791361;0.068206801;-0.145610262
21;-0.075839258;-0.093062641;0.576813562;0.340123866;-0.145610262;-0.145610262
22;-0.097366285;-0.096808323;5.049698688;0.198708668;-0.145610262;-0.145610262
23;-0.011115752;-0.074022948;0.008860185;5.888093691;2.405418593;-0.145610262
24;-0.10193863;-0.100692028;1.387320359;0.583392494;-0.145610262;-0.145610262
NC;-0.100352112;-0.082802762;0.940744115;0.369008954;-0.059555943;0.043787455
KRED11;3.783058996;4.854867338;0.174112378;5.398573137;-0.145610262;1.73497341
